nom_hatvp;nom_developpe;accronyme;variation;
FEDERATION DES PRESTATAIRES DE SANTE A DOMICILE;FEDERATION DES PRESTATAIRES DE SANTE A DOMICILE;FEDEPSAD;;
JEUNES AGRICULTEURS HAUTE-MARNE 52;JEUNES AGRICULTEURS HAUTE-MARNE 52;;;
IFP ENERGIES NOUVELLES;IFP ENERGIES NOUVELLES;IFP;;
"FÉDÉRATION FRANÇAISE DES INDUSTRIELS CHARCUTIERS; TRAITEURS; TRANSFORMATEURS DE VIANDES";"FÉDÉRATION FRANÇAISE DES INDUSTRIELS CHARCUTIERS; TRAITEURS; TRANSFORMATEURS DE VIANDES";FICT;;
LEXCITY;LEXCITY;;;
FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DE VAUCLUSE;FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DE VAUCLUSE;FBTP DU VAUCLUSE 84;;
KORIAN;KORIAN;;;
CELLNEX FRANCE SAS;CELLNEX FRANCE SAS;;;
TRUST IN AFRICA;TRUST IN AFRICA;;;
CASINOS FRANCE UNION DEVELOP ACTIV LOISI;CASINOS FRANCE UNION DEVELOP ACTIV LOISI;;;
MERIDIAM;MERIDIAM;;;
UNIS SYNDICAT IMMOBILIER;UNIS SYNDICAT IMMOBILIER;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE CAEN NORMANDIE;CHAMBRE DE COMMERCE ET D'INDUSTRIE TERRITORIALE CAEN NORMANDIE;CCI CAEN NORMANDIE;;
ORANGE BANK;ORANGE BANK;;;
GROUPE RANDSTAD FRANCE;GROUPE RANDSTAD FRANCE;;;
MAILLET THIBAULT JEAN CHRISTIAN;MAILLET THIBAULT JEAN CHRISTIAN;;;
LT CONSEIL;LT CONSEIL;;;
EIFFAGE;EIFFAGE;;;
UNION NATIONALE DES PROPRIETAIRES IMMOBILIERS;UNION NATIONALE DES PROPRIETAIRES IMMOBILIERS;;;
RATP;RATP;;;
FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES BOUCHES DU RHONE;FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES BOUCHES DU RHONE;;;
UNION DES PORTS DE FRANCE;UNION DES PORTS DE FRANCE;;;
ASS REGIONALE HLM REGION NORD PDC;ASSociation REGIONALE HLM REGION NORD PDC;;;
UNION NATIONALE FEDERATION H L M;UNION NATIONALE FEDERATION H L M;;;
FÉDÉRATION FRANÇAISE DES COOPÉRATIVES ET GROUPEMENTS D’ARTISANS;FÉDÉRATION FRANÇAISE DES COOPÉRATIVES ET GROUPEMENTS D’ARTISANS;FFCGA;;
MGH PARTNERS;MGH PARTNERS;;;
LIDL;LIDL;;;
FÉDÉRATION DU BTP DE L'ALLIER;FÉDÉRATION DU BTP DE L'ALLIER;FFB 03;;
PORTIER PHILIPPE PAUL AIME;PORTIER PHILIPPE PAUL AIME;;;
SNCF VOYAGEURS;SNCF VOYAGEURS;;;
LIGUE CONTRE LA VIOLENCE ROUTIERE;LIGUE CONTRE LA VIOLENCE ROUTIERE;;;
ENI GAS & POWER FRANCE;ENI GAS & POWER FRANCE;;;
ALI FRANCE - AQUATIC LIFE INSTITUTE;ALI FRANCE - AQUATIC LIFE INSTITUTE;;;
CCDELI INFLUENCE;CCDELI INFLUENCE;;;
VOL-V;VOL-V;;;
ASSOCIATION DES GROUPES INTERNATIONAUX POUR LA PHARMACIE DE RECHERCHE;ASSOCIATION DES GROUPES INTERNATIONAUX POUR LA PHARMACIE DE RECHERCHE;AGIPHARM;;
SYNDICAT NATIONAL DE L'EDITION;SYNDICAT NATIONAL DE L'EDITION;;;
AGENCE NATIONALE POUR LES CHÈQUES-VACANCES;AGENCE NATIONALE POUR LES CHÈQUES-VACANCES;ANCV;;
CCI SEINE ESTUAIRE;Chambre du commerce et d'industrie SEINE ESTUAIRE;;;
ELECTRICITE DE FRANCE;ELECTRICITE DE FRANCE;EDF;;
UNION FRANÇAISE DES INDUSTRIES MODE & HABILLEMENT;UNION FRANÇAISE DES INDUSTRIES MODE & HABILLEMENT;UFIMH;;
FRANCE SUPPLY CHAIN BY ASLOG (ASSOCIATION FRANCAISE DE LA SUPPLY CHAIN);FRANCE SUPPLY CHAIN BY ASLOG (ASSOCIATION FRANCAISE DE LA SUPPLY CHAIN);;;
INTERNATIONAL MANAGEMENT GROUP;INTERNATIONAL MANAGEMENT GROUP;;;
JPK CONSEIL;JPK CONSEIL;;;
GRAYLING FRANCE;GRAYLING FRANCE;;;
ARMATEURS DE FRANCE;ARMATEURS DE FRANCE;;;
VINS DU CENTRE-LOIRE;VINS DU CENTRE-LOIRE;BIVC;;
UNION PROFESSIONNELLE ARTISANALE DEPARTEMENTALE DE LA VIENNE;UNION PROFESSIONNELLE ARTISANALE DEPARTEMENTALE DE LA VIENNE;UPA 59;;
FEDERATION FRANCAISE DES ASSOCIATIONS D'ACTIONNAIRES SALARIES ET ANCIENS SALARIES FAS;FEDERATION FRANCAISE DES ASSOCIATIONS D'ACTIONNAIRES SALARIES ET ANCIENS SALARIES FAS;;;
FEDERATION DES ASSOCIATIONS GENERALES ETUDIANTES;FEDERATION DES ASSOCIATIONS GENERALES ETUDIANTES;;;
MEUBLES IKEA FRANCE;MEUBLES IKEA FRANCE;;;
SIEMENS HEALTHCARE SAS;SIEMENS HEALTHCARE SAS;;;
FEDERATION DES SYNDICATS DE LA DISTRIBUTION AUTOMOBILE;FEDERATION DES SYNDICATS DE LA DISTRIBUTION AUTOMOBILE;;;
FLIXBUS FRANCE SARL;FLIXBUS FRANCE SARL;;;
GROUPEMENT TECHNIQUE FRANCAIS CONTRE L INCENDIE;GROUPEMENT TECHNIQUE FRANCAIS CONTRE L INCENDIE;GTFI;;
LABORATOIRES INTERNATIONAUX DE RECHERCHE;LABORATOIRES INTERNATIONAUX DE RECHERCHE;;;
VIGNERONS INDEPENDANTS DE FRANCE;VIGNERONS INDEPENDANTS DE FRANCE;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE L'ESSONNE;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE L'ESSONNE;CCI 91;;
CPME RHONE;CPME RHONE;;;
ASSOCIATION TECHNIQUE DE L'INDUSTRIE DES LIANTS HYDRAULIQUES;ASSOCIATION TECHNIQUE DE L'INDUSTRIE DES LIANTS HYDRAULIQUES;ATILH;;
FÉDÉRATION DU BÂTIMENT ET DES TRAVAUX PUBLICS DU LOIRET;FÉDÉRATION DU BÂTIMENT ET DES TRAVAUX PUBLICS DU LOIRET;FFB 45;;
ADECCO HOLDING FRANCE;ADECCO HOLDING FRANCE;;;
SOVAPE;SOVAPE;;;
AB ADVISORY & STRATEGIE;AB ADVISORY & STRATEGIE;;;
CREDIT FONCIER DE FRANCE;CREDIT FONCIER DE FRANCE;;;
CARREFOUR FRANCE;CARREFOUR FRANCE;;;
MAISON DE L'EUROPE DE TOURS;MAISON DE L'EUROPE DE TOURS;;;
BILL AND MELINDA GATES FOUNDATION;BILL AND MELINDA GATES FOUNDATION;;;
FEDERATION NATIONALE DES CINEMAS FRANÇAIS;FEDERATION NATIONALE DES CINEMAS FRANÇAIS;FNCF;;
MAISON DE L EUROPE LE MANS SARTHE;MAISON DE L EUROPE LE MANS SARTHE;;;
SYNGENTA FRANCE SAS;SYNGENTA FRANCE SAS;;;
IMAGE 7;IMAGE 7;;;
ATARAXIE SOLUTIONS;ATARAXIE SOLUTIONS;;;
SYNDICAT FRANCAIS DES SIROPS;SYNDICAT FRANCAIS DES SIROPS;;;
AIDES;AIDES;;;
MCDONALD'S FRANCE;MCDONALD'S FRANCE;;;
FEDERATION NATIONALE DE L'ARTISANAT AUTOMOBILE;FEDERATION NATIONALE DE L'ARTISANAT AUTOMOBILE;FNAUT;;
FONDATION ARCAD;FONDATION ARCAD;;;
ALIANICO CONSEIL;ALIANICO CONSEIL;;;
SYNDICAT NATIONAL DES PETITES ET MOYENNES STRUCTURES NON LUCRATIVES DE MUSIQUES ACTUELLES;SYNDICAT NATIONAL DES PETITES ET MOYENNES STRUCTURES NON LUCRATIVES DE MUSIQUES ACTUELLES;;;
CHAMBRE DE COMMERCE ET D’INDUSTRIE METROPOLITAINE ROUEN METROPOLE;CHAMBRE DE COMMERCE ET D’INDUSTRIE METROPOLITAINE ROUEN METROPOLE;CCI ROUEN METROPOLE;;
FEDERATION NATIONALE DES ETABLISSEMENTS D'HOSPITALISATION A DOMICILE;FEDERATION NATIONALE DES ETABLISSEMENTS D'HOSPITALISATION A DOMICILE;FNEHAD;;
FÉDÉRATION DE LA VENTE DIRECTE;FÉDÉRATION DE LA VENTE DIRECTE;;;
PARROT;PARROT;;;
A.I.2.P;A.I.2.P;;;
BECTON DICKINSON FRANCE;BECTON DICKINSON FRANCE;;;
UNION RÉGIONALE DE LA MUTUALITÉ FRANÇAISE CORSE;UNION RÉGIONALE DE LA MUTUALITÉ FRANÇAISE CORSE;URMFC;;
BIOGEN FRANCE;BIOGEN FRANCE;;;
BM.CONSULTING;BM.CONSULTING;;;
FEDERATION FRANCAISE DE TIR;FEDERATION FRANCAISE DE TIR;;;
OMNICOM PUBLIC RELATIONS GROUP;OMNICOM PUBLIC RELATIONS GROUP;;;
MUTUALITE FRANCAISE GRAND EST;MUTUALITE FRANCAISE GRAND EST;;;
BCW;BCW;;;
ORANGE;ORANGE;;;
LA FRANCAISE DES JEUX;LA FRANCAISE DES JEUX;FDJ;;
CHAMBRE DE COMMERCE ET D INDUSTRIE DE HAUTE LOIRE;CHAMBRE DE COMMERCE ET D INDUSTRIE DE HAUTE LOIRE;CCI HAUTE LOIRE 43;;
ASSOCIATION DES AVOCATS LOBBYISTES;ASSOCIATION DES AVOCATS LOBBYISTES;AAL;;
FEDERATION FRANCAISE DES USAGERS DE LA BICYCLETTE;FEDERATION FRANCAISE DES USAGERS DE LA BICYCLETTE;FUB;;
LACOMBLED.CO;LACOMBLED.CO;;;
UNION DES IMPORTATEURS INDÉPENDANTS PÉTROLIERS;UNION DES IMPORTATEURS INDÉPENDANTS PÉTROLIERS;UIP;;
SYNDICAT DES RADIOS INDEPENDANTES;SYNDICAT DES RADIOS INDEPENDANTES;;;
CONFÉDÉRATION DES COMMERÇANTS DE FRANCE;CONFÉDÉRATION DES COMMERÇANTS DE FRANCE;CDF;;
PROTEINES FRANCE;PROTEINES FRANCE;;;
CHAMBRE DE MÉTIERS ET DE L'ARTISANAT INTERDÉPARTEMENTALE BOURGOGNE;CHAMBRE DE MÉTIERS ET DE L'ARTISANAT INTERDÉPARTEMENTALE BOURGOGNE;;;
NICOLAS HUGUES-ALEXANDRE;NICOLAS HUGUES-ALEXANDRE;;;
CCI PORTES DE NORMANDIE;Chambre de commerce et d'industrie PORTES DE NORMANDIE;;;
BOISSONS RAFRAICHISSANTES DE FRANCE;BOISSONS RAFRAICHISSANTES DE FRANCE;BRF;;
LE CERCLE DE L'EPARGNE;LE CERCLE DE L'EPARGNE;;;
FEDERATION FRANCAISE DE LA MAROQUINERIE;FEDERATION FRANCAISE DE LA MAROQUINERIE;;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE LA HAUTE MARNE 52;CHAMBRE DE METIERS ET DE L'ARTISANAT DE LA HAUTE MARNE 52;CMA HAUTE MARNE 52;;
SUN'AGRI;SUN'AGRI;;;
"FÉDÉRATION DES SYNDICATS DES MÉTIERS DE LA PRESTATION INTELLECTUELLE DU CONSEIL; DE L'INGÉNIÉRIE ET DU NUMÉRIQUE";"FÉDÉRATION DES SYNDICATS DES MÉTIERS DE LA PRESTATION INTELLECTUELLE DU CONSEIL; DE L'INGÉNIÉRIE ET DU NUMÉRIQUE";CINOV;;
BOULIN FRANCK RICHARD HENRI;BOULIN FRANCK RICHARD HENRI;;;
UNION NATIONALE DES INDUSTRIES DE LA MANUTENTION DANS LES PORTS FRANCAIS;UNION NATIONALE DES INDUSTRIES DE LA MANUTENTION DANS LES PORTS FRANCAIS;;;
CAPITAL ENERGY;CAPITAL ENERGY;;;
UP;UP;;;
MOBILIANS;MOBILIANS;CNPA;;
LES JEUNES AGRICULTEURS DES LANDES 33;LES JEUNES AGRICULTEURS DES LANDES 33;JA DES LANDES 33;;
FEDERATION FRANCAISE DU BATIMENT DE LA VIENNE 86;FEDERATION FRANCAISE DU BATIMENT DE LA VIENNE 86;FFB VIENNE 86;;
LA CHAINE DE L'ESPOIR;LA CHAINE DE L'ESPOIR;;;
MENARINI FRANCE;MENARINI FRANCE;;;
SYNDICAT NATIONAL DES ASSOCIATIONS D'ASSISTANCE À DOMICILE;SYNDICAT NATIONAL DES ASSOCIATIONS D'ASSISTANCE À DOMICILE;SNADOM;;
EXPERTS COMPTABLES ET COMMISSAIRES AUX COMPTES DE FRANCE;EXPERTS COMPTABLES ET COMMISSAIRES AUX COMPTES DE FRANCE;;;
ALTEO GARDANNE;ALTEO GARDANNE;;;
CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE;CHAMBRE COMMERCE INDUSTRIE DE TOULOUSE;;;
MARQUAT GENIE BIOMEDICAL;MARQUAT GENIE BIOMEDICAL;;;
MEDEF AUVERGNE RHONE ALPES;MEDEF AUVERGNE RHONE ALPES;;;
UNION METIERS INDUSTRIES HOTELLERIE 33;UNION METIERS INDUSTRIES HOTELLERIE 33;;;
SYNDICAT DES PROFESSIONNELS DE L'ENERGIE SOLAIRE;SYNDICAT DES PROFESSIONNELS DE L'ENERGIE SOLAIRE;;;
CGPME DE HAUTE SAVOIE;Confédération des petites et moyennes entreprises DE HAUTE SAVOIE;;;
ERASTEEL COMMENTRY;ERASTEEL COMMENTRY;;;
BONFILS CONSULTANT;BONFILS CONSULTANT;;;
FEDERATION FRANCAISE DU BATIMENT DE LOIRE-ATLANTIQUE 44;FEDERATION FRANCAISE DU BATIMENT DE LOIRE-ATLANTIQUE 44;FFB DE LOIRE-ATLANTIQUE 44;;
LE CONCERT DE L HOSTEL DIEU;LE CONCERT DE L HOSTEL DIEU;;;
Influences & Réputation;Influences & Réputation;;;
JEUNES AGRICULTEURS HAUTE-SAÔNE 70;JEUNES AGRICULTEURS HAUTE-SAÔNE 70;;;
LE BUREAU DE LA RADIO;LE BUREAU DE LA RADIO;;;
MOUVEMENT DES ENTREPRISES DE FRANCE;MOUVEMENT DES ENTREPRISES DE FRANCE;;;
ZEPLUG;ZEPLUG;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE ROCHEFORT ET DE SAINTONGE;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE ROCHEFORT ET DE SAINTONGE;CCI ROCHEFORT ET SAINTONGE;;
LINKEDIN FRANCE SAS;LINKEDIN FRANCE SAS;;;
INSTITUT DE LA GESTION DELEGUEE;INSTITUT DE LA GESTION DELEGUEE;;;
SULO FRANCE;SULO FRANCE;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA MOSELLE;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA MOSELLE;CCI MOSELLE;;
FRET SNCF;FRET SNCF;;;
SOCIETE DES PETROLES SHELL;SOCIETE DES PETROLES SHELL;;;
CSL BEHRING S.A.;CSL BEHRING S.A.;;;
ACCOR;ACCOR;;;
N.P.A. CONSEIL;N.P.A. CONSEIL;;;
HAMMERSON PROPERTY MANAGEMENT;HAMMERSON PROPERTY MANAGEMENT;;;
EDENRED;EDENRED;;;
SAS TRADITAB;SAS TRADITAB;;;
ASSOCIATION FRANCAISE DE NORMALISATION;ASSOCIATION FRANCAISE DE NORMALISATION;AFNOR;;
EVENO PATRICK;EVENO PATRICK;;;
UNION NATIONALE DES ENTREPRISES DU PAYSAGE;UNION NATIONALE DES ENTREPRISES DU PAYSAGE;;;
RAYTHEON SYSTEMS FRANCE;RAYTHEON SYSTEMS FRANCE;;;
FEDERATION FRANCAISE DU BATIMENT DU BAS-RHIN;FEDERATION FRANCAISE DU BATIMENT DU BAS-RHIN;FFB 67;;
CENTRE TECHNIQUE INSTITUTIONS PREVOYANCE;CENTRE TECHNIQUE INSTITUTIONS PREVOYANCE;CTIP;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION HAUTS-DE-FRANCE;CHAMBRE DE METIERS ET DE L'ARTISANAT DE REGION HAUTS-DE-FRANCE;CRMA HAUTS DE FRANCE;;
CNP ASSURANCES;CNP ASSURANCES;;;
GROUPEMENT NATIONAL CHAINES HOTELIERES;GROUPEMENT NATIONAL CHAINES HOTELIERES;GNC;;
FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DU LOT-ET-GARONNE;FÉDÉRATION DÉPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLES DU LOT-ET-GARONNE;FDSEA 47;;
ENOTIKO;ENOTIKO;;;
GILLES SAVARY CONSULTANTS;GILLES SAVARY CONSULTANTS;;;
ELEPHANT VERT FRANCE;ELEPHANT VERT FRANCE;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE CHARENTE MARITIME 17;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE CHARENTE MARITIME 17;CCI DE CHARENTE MARITIME 17;;
CODE ANIMAL;CODE ANIMAL;;;
SYNDICAT NATIONAL DES INGREDIENTS AROMATIQUES ALIMENTAIRES;SYNDICAT NATIONAL DES INGREDIENTS AROMATIQUES ALIMENTAIRES;SNIAA;;
SYNDICAT NATIONAL DES TRANSFORMATEURS DE POIVRES EPICES AROMATES ET VANILLE;SYNDICAT NATIONAL DES TRANSFORMATEURS DE POIVRES EPICES AROMATES ET VANILLE;SNPE;;
CHAMBRE SYNDICALE INTERNATIONALE DE L'AUTOMOBILE ET DU MOTOCYCLE;CHAMBRE SYNDICALE INTERNATIONALE DE L'AUTOMOBILE ET DU MOTOCYCLE;CSIAM;;
NEXITY;NEXITY;;;
SEYRIG RODOLPHE JACQUES;SEYRIG RODOLPHE JACQUES;;;
FEDERATION DES ACTEURS DE LA SOLIDARITE BOURGOGNE-FRANCHE-COMTE;FEDERATION DES ACTEURS DE LA SOLIDARITE BOURGOGNE-FRANCHE-COMTE;;;
FEDERATION INTERPROFESSIONNELLE DU DIAGNOSTIC IMMOBILIER;FEDERATION INTERPROFESSIONNELLE DU DIAGNOSTIC IMMOBILIER;FIDI;;
LAFARGE FRANCE;LAFARGE FRANCE;;;
CHAMB COMME ET INDUSTRIE LOT ET GARONNE;CHAMB COMME ET INDUSTRIE LOT ET GARONNE;;;
HAMMERSON ASSET MANAGEMENT;HAMMERSON ASSET MANAGEMENT;;;
ANICURA FRANCE SAS;ANICURA FRANCE SAS;;;
FRANCE BOIS INDUSTRIE ENTREPRISES;FRANCE BOIS INDUSTRIE ENTREPRISES;;;
FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLE DE GIRONDE;FEDERATION DEPARTEMENTALE DES SYNDICATS D'EXPLOITANTS AGRICOLE DE GIRONDE;FDSEA GIRONDE;FDSEA 33;;
CHAMBRE COMMERCE ET INDUSTRIE LA MAYENNE;CHAMBRE COMMERCE ET INDUSTRIE LA MAYENNE;CCI 53;;
ROQUETTE FRERES;ROQUETTE FRERES;;;
FÉDÉRATION FRANÇAISE DE CARROSSERIE INDUSTRIES ET SERVICES;FÉDÉRATION FRANÇAISE DE CARROSSERIE INDUSTRIES ET SERVICES;FFC REPARATEURS;;
FÉDÉRATION NATIONALE DES TRANSFORMATEURS DE POMMES DE TERRE;FÉDÉRATION NATIONALE DES TRANSFORMATEURS DE POMMES DE TERRE;FNTPT;;
THALES ALENIA SPACE FRANCE;THALES ALENIA SPACE FRANCE;;;
TILRAY PORTUGAL UNIPESSOAL LDA;TILRAY PORTUGAL UNIPESSOAL LDA;;;
ARPEJEH;ARPEJEH;;;
GROUPEMENT INDUSTRIEL FRANCAIS DES APPAREILS MENAGERS;GROUPEMENT INDUSTRIEL FRANCAIS DES APPAREILS MENAGERS;GIFAM;;
CONSEIL DES INDUSTRIES DE LA CONFIANCE ET DE LA SECURITE;CONSEIL DES INDUSTRIES DE LA CONFIANCE ET DE LA SECURITE;CICS;;
CHAMBRE DE METIERS ET DE L'ARTISANAT INTERDEPARTEMENTALE DORDOGNE-GIRONDE-LOT-ET-GARONNE;CHAMBRE DE METIERS ET DE L'ARTISANAT INTERDEPARTEMENTALE DORDOGNE-GIRONDE-LOT-ET-GARONNE;;;
MOUVEMENT DES ENTREPRISES DE FRANCE BFC (MEDEF BFC);MOUVEMENT DES ENTREPRISES DE FRANCE BFC;MEDEF BFC;;
FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS D'ILLE ET VILAINE;FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS D'ILLE ET VILAINE;FFB ILLE ET VILAINE 35;FFB ILLE ET VILAINE;
EDWARDS LIFESCIENCES SAS;EDWARDS LIFESCIENCES SAS;;;
UNION ROUTIERE DE FRANCE;UNION ROUTIERE DE FRANCE;;;
CERCLE D'ETUDE REALITES ECOLOGIQUES ET MIX ENERGETIQUE - CEREME;CERCLE D'ETUDE REALITES ECOLOGIQUES ET MIX ENERGETIQUE - CEREME;;;
UNION PROFESSIONNELLE ARTISANALE DE LA VENDEE;UNION PROFESSIONNELLE ARTISANALE DE LA VENDEE;;;
CASCADIA;CASCADIA;;;
CHAMBRE DU COMMERCE ET D'INDUSTRIE DE BOURGOGNE FRANCHE COMTE;CHAMBRE DU COMMERCE ET D'INDUSTRIE DE BOURGOGNE FRANCHE COMTE;;;
SEMAE;SEMAE;SEMAE;;
UNION PROFESSIONNELLE ARTISANALE LOIRE ATLANTIQUE;UNION PROFESSIONNELLE ARTISANALE LOIRE ATLANTIQUE;U2P 44;;
Emmac Life Sciences Limited;Emmac Life Sciences Limited;;;
ERG FRANCE;ERG FRANCE;;;
CHAMBRE DE METIERS ET DE L'ARTISANAT DE LA MEUSE 55;CHAMBRE DE METIERS ET DE L'ARTISANAT DE LA MEUSE 55;CMA MEUSE 55;;
CASINO GUICHARD-PERRACHON;CASINO GUICHARD-PERRACHON;;;
OGMIOS CONSULTING;OGMIOS CONSULTING;;;
CONSEIL NATIONAL ORDRE DES SAGES FEMMES;CONSEIL NATIONAL ORDRE DES SAGES FEMMES;;;
FEDERAL EXPRESS CORPORATION;FEDERAL EXPRESS CORPORATION;;;
EURALIA FRANCE;EURALIA FRANCE;;;
DASSAULT AVIATION;DASSAULT AVIATION;;;
AGENCE FRANCE LOCALE;AGENCE FRANCE LOCALE;;;
DOREMI;DOREMI;;;
SYNDICAT NATIONAL DES OPTICIENS RÉUNIS;SYNDICAT NATIONAL DES OPTICIENS RÉUNIS;SNOR;;
SYNDICAT NATIONAL DE LA RESTAURATION COLLECTIVE;SYNDICAT NATIONAL DE LA RESTAURATION COLLECTIVE;SNRC;;
ARNAUD DECKER CONSEIL;ARNAUD DECKER CONSEIL;;;
ASSOCIATION DES CONSEILS EN INNOVATION;ASSOCIATION DES CONSEILS EN INNOVATION;;;
CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;CREDIT AGRICOLE CORPORATE AND INVESTMENT BANK;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DES COTES D'ARMOR;CHAMBRE DE COMMERCE ET D'INDUSTRIE DES COTES D'ARMOR;CCI COTES D'ARMOR;;
CONSEIL SUPER NOTARIAT;CONSEIL SUPER NOTARIAT;;;
RIVINGTON;RIVINGTON;;;
PROFIDA;PROFIDA;;;
ASSOCIATION DES FOURNISSEURS DE TABACS A FUMER;ASSOCIATION DES FOURNISSEURS DE TABACS A FUMER;;;
SYNDICAT NATIONAL DE L'INDUSTRIE DE LA NUTRITION ANIMALE;SYNDICAT NATIONAL DE L'INDUSTRIE DE LA NUTRITION ANIMALE;SNIA NUTRITION ANIMALE;;
ATL CONSULTING;ATL CONSULTING;;;
LES JEUNES AGRICULTEURS DU MORBIHAN;LES JEUNES AGRICULTEURS DU MORBIHAN;JA DU MORBIHAN 56;;
INDUSTRIES DE PREMIERE TRANSFORMATION DE L'AGRICULTURE - IPTA;INDUSTRIES DE PREMIERE TRANSFORMATION DE L'AGRICULTURE - IPTA;IPTA;;
TZATCHEV JOUVET ALEXANDRA;TZATCHEV JOUVET ALEXANDRA;;;
VH CONSEIL;VH CONSEIL;;;
BASE;BASE;;;
FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DU LOT;FEDERATION DU BATIMENT ET DES TRAVAUX PUBLICS DU LOT;FBTP LOT 46;;
NESPRESSO FRANCE;NESPRESSO FRANCE;;;
COMITE CHAMPS ELYSEES;COMITE CHAMPS ELYSEES;;;
C F E B SISLEY;C F E B SISLEY;;;
JEUNES AGRICULTEURS;JEUNES AGRICULTEURS;JA 75;;
INDUSTRIES DU GENIE NUMERIQUE ENERGETIQUE ET SECURITAIRE;INDUSTRIES DU GENIE NUMERIQUE ENERGETIQUE ET SECURITAIRE;;;
ASS PROMOTION COMMERCE SERVICE SPECIALIS;ASSiation PROMOTION COMMERCE SERVICE SPECIALIS;;;
JEUNES AGRICULTEURS 60;JEUNES AGRICULTEURS 60;JA 60;;
UNION NATIONALE DES ASSOCIATIONS AGREEES DU SYSTEME DE SANTE;UNION NATIONALE DES ASSOCIATIONS AGREEES DU SYSTEME DE SANTE;;;
U2P MOSELLE;U2P MOSELLE;U2P 57;;
CERWAY;CERWAY;;;
COMPAGNIE EUROPÉENNE D'INTELLIGENCE STRATÉGIQUE;COMPAGNIE EUROPÉENNE D'INTELLIGENCE STRATÉGIQUE;CEIS;;
MERCK SANTE;MERCK SANTE;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA CREUSE;CHAMBRE DE COMMERCE ET D'INDUSTRIE DE LA CREUSE;CCI CREUSE 23;;
FEDERATION NATION AGRIC BIOLOG REGION FR;FEDERATION NATION AGRIC BIOLOG REGION FR;;;
GETLINK S.E.;GETLINK S.E.;;;
SYNOPIA;SYNOPIA;;;
SYNDICAT NATIONAL BETON PRET EMPLOI;SYNDICAT NATIONAL BETON PRET EMPLOI;;;
MUTUELLE NAT HOSPIT PROF SANTE SOCIAL;MUTUELLE NAT HOSPIT PROF SANTE SOCIAL;;;
ELM STRATEGIE;ELM STRATEGIE;;;
"CAP CORELI; COMMUNICATION & RELATIONS INSTITUTIONNELLES";"CAP CORELI; COMMUNICATION & RELATIONS INSTITUTIONNELLES";;;
IMAGE ET DIALOGUE;IMAGE ET DIALOGUE;;;
FRANCE INDUSTRIE;FRANCE INDUSTRIE;;;
JEUNES AGRICULTEURS PACA;JEUNES AGRICULTEURS PACA;;;
UNION NATIONALE DES ENTREPRISES ADAPTEES;UNION NATIONALE DES ENTREPRISES ADAPTEES;;;
B2P COMMUNICATIONS CONSULTING;B2P COMMUNICATIONS CONSULTING;;;
PARIS ANIMAUX ZOOPOLIS;PARIS ANIMAUX ZOOPOLIS;;;
CHAMBRE REGIONALE DE METIERS ET DE L'ARTISANAT NOUVELLE-AQUITAINE;CHAMBRE REGIONALE DE METIERS ET DE L'ARTISANAT NOUVELLE-AQUITAINE;CRMA NOUVELLE AQUITAINE;;
GAMELOFT SE;GAMELOFT SE;;;
ALLIANCE POUR LE RECYCLAGE DES CAPSULES EN ALUMINIUM;ALLIANCE POUR LE RECYCLAGE DES CAPSULES EN ALUMINIUM;;;
UNION FRANCAISE DE L'EXPRESS;UNION FRANCAISE DE L'EXPRESS;UFEX;;
UNION DES MARQUES;UNION DES MARQUES;;;
CHAMBRE DE COMMERCE ET D'INDUSTRIE METROPOLITAINE BRETAGNE OUEST;CHAMBRE DE COMMERCE ET D'INDUSTRIE METROPOLITAINE BRETAGNE OUEST;;;
SODIAAL UNION;SODIAAL UNION;;;
FED FRANC SOC PROTECT NATURE;FED FRANC SOC PROTECT NATURE;;;
